operation,base_url,endpoint,summary,description,operationId
get,dataspace,/api/v1/statistics/batch/{requestId},Retrieve a single batch statistical request,,getSingleBatchStatisticalRequestById
get,dataspace,/api/v1/statistics/batch/{requestId}/status,Retrieve the status of a batch statistical request.,,batchStatisticalGetStatus
post,dataspace,/api/v1/statistics/batch/{requestId}/analyse,Request analysis of a batch statistical request,,batchStatisticalAnalyse
post,dataspace,/api/v1/statistics/batch/{requestId}/start,Start (confirm) processing of a batch statistical request,,batchStartStatisticalRequest
post,dataspace,/api/v1/statistics/batch/{requestId}/stop,Stop a batch statistical request,,batchStopStatisticalRequest
post,dataspace,/api/v1/byoc/collections/{collectionId}/tiles,Create a tile,,createByocCollectionTile
get,dataspace,/api/v1/byoc/collections/{collectionId}/tiles,Get collection tiles,,getByocCollectionTiles
get,dataspace,/api/v1/byoc/collections/{collectionId}/tiles/{tileId},Get a tile,,getByocCollectionTileById
put,dataspace,/api/v1/byoc/collections/{collectionId}/tiles/{tileId},Update a tile,,updateByocCollectionTileById
delete,dataspace,/api/v1/byoc/collections/{collectionId}/tiles/{tileId},Delete a tile,,deleteByocCollectionTileById
post,dataspace,/api/v1/byoc/collections/{collectionId}/tiles/{tileId}/reingest,Reingest a tile,Initiates reingestion of a tile.,reingestByocCollectionTileById
post,dataspace,/api/v1/byoc/collections,Create a collection,,createByocCollection
get,dataspace,/api/v1/byoc/collections,Query collections,,getByocCollections
get,dataspace,/api/v1/byoc/collections/{collectionId},Get a collection,,getByocCollectionById
put,dataspace,/api/v1/byoc/collections/{collectionId},Update a collection,,updateByocCollectionById
delete,dataspace,/api/v1/byoc/collections/{collectionId},Delete a collection,,deleteByocCollectionById
post,dataspace,/api/v1/byoc/collections/{collectionId}/copyTiles,Copy collection tiles,"Copies ingested tiles from one collection to another, but only those whose path isn't present in the target collection.		You need to have access to both source and target collections, and target collection needs to have either the same band names and types, or it should have no bands.	",copyByocCollectionTiles
get,dataspace,/configuration/v1/datasets/{datasetType}/dataproducts,Search data product,,getDataProducts
get,dataspace,/configuration/v1/datasets/{datasetType}/dataproducts/{id},Get data product,Get an existing data product,getDataProduct
get,dataspace,/configuration/v1/datasets,Get all datasets,Get all existing datasets,getAllDatasetDescriptors
get,dataspace,/configuration/v1/datasets/{datasetType},Get dataset,Get an existing dataset,getDatasetDescriptor
get,dataspace,/configuration/v1/datasets/{datasetId}/sources,Get dataset sources,Get all existing dataset sources,getSourceDescriptors
get,dataspace,/configuration/v1/datasets/{datasetId}/sources/{id},Get dataset source,Get an existing dataset source,getSourceDescriptor
get,dataspace,/configuration/v1/wms/instances/{instanceId}/userData,Get instance user data,Get an existing WMS instance user data,getInstanceUserData
put,dataspace,/configuration/v1/wms/instances/{instanceId}/userData,Update instance user data,Update an existing WMS instance user data,updateInstanceUserData
post,dataspace,/configuration/v1/wms/instances/{instanceId}/userData,Create instance user data,Create a new WMS instance user data,createInstanceUserData
delete,dataspace,/configuration/v1/wms/instances/{instanceId}/userData,Delete instance user data,Delete an existing WMS instance user data,deleteInstanceUserData
get,dataspace,/configuration/v1/wms/instances/{instanceId}/{layerId}/userData,Get layer user data,Get an existing WMS layer user data,getWmsLayerUserData
put,dataspace,/configuration/v1/wms/instances/{instanceId}/{layerId}/userData,Update layer user data,Update an existing layer user data,updateLayerUserData
post,dataspace,/configuration/v1/wms/instances/{instanceId}/{layerId}/userData,Create layer user data,Create a new WMS layer user data,createWmsLayerUserData
delete,dataspace,/configuration/v1/wms/instances/{instanceId}/{layerId}/userData,Delete layer user data,Delete an existing WMS layer user data,deleteLayerUserData
get,dataspace,/configuration/v1/wms/instances/{instanceId}/layers,Get layers,Get all WMS layers for a WMS instance,getWmsLayers
post,dataspace,/configuration/v1/wms/instances/{instanceId}/layers,Create layer,Create a new WMS layer,createWmsLayer
get,dataspace,/configuration/v1/wms/instances/{instanceId}/layers/{layerId},Get layer,Get an existing WMS layer,getWmsLayer
put,dataspace,/configuration/v1/wms/instances/{instanceId}/layers/{layerId},Update layer,Update an existing WMS layer,updateWmsLayer
delete,dataspace,/configuration/v1/wms/instances/{instanceId}/layers/{layerId},Delete layer,Delete an existing WMS layer,deleteWmsLayer
get,dataspace,/configuration/v1/wms/instances,Get instances,Returns user's WMS instances,searchWmsInstances
post,dataspace,/configuration/v1/wms/instances,Create instance,Create a new WMS instance,createWmsInstance
get,dataspace,/configuration/v1/wms/instances/{instanceId},Get instance,Get an existing WMS instance,getWmsInstance
put,dataspace,/configuration/v1/wms/instances/{instanceId},Update instance,Update an existing WMS instance,updateWmsInstance
delete,dataspace,/configuration/v1/wms/instances/{instanceId},Delete instance,Delete an existing WMS instance,deleteWmsInstance
